# pulled from biomart on 2025-10-17
"Gene.stable.ID"	"Gene.stable.ID.version"	"Transcript.stable.ID"	"Transcript.stable.ID.version"	"RefSeq.match.transcript..MANE.Select."
"ENSG00000004777"	"ENSG00000004777.19"	"ENST00000007510"	"ENST00000007510.9"	"NM_001366178.1"
"ENSG00000250361"	"ENSG00000250361.10"	"ENST00000502664"	"ENST00000502664.6"	"NM_002100.6"
"ENSG00000124334"	"ENSG00000124334.20"	"ENST00000244174"	"ENST00000244174.11"	"NM_002186.3"
"ENSG00000114487"	"ENSG00000114487.10"	"ENST00000232603"	"ENST00000232603.10"	"NM_014429.4"
"ENSG00000101166"	"ENSG00000101166.17"	"ENST00000355937"	"ENST00000355937.9"	"NM_016045.3"
"ENSG00000113262"	"ENSG00000113262.16"	"ENST00000517717"	"ENST00000517717.3"	"NM_000843.4"
"ENSG00000226763"	"ENSG00000226763.5"	"ENST00000417606"	"ENST00000417606.3"	"NM_001145641.2"
"ENSG00000101605"	"ENSG00000101605.15"	"ENST00000356443"	"ENST00000356443.9"	"NM_003803.4"
"ENSG00000137720"	"ENSG00000137720.8"	"ENST00000260276"	"ENST00000260276.8"	"NM_022761.3"
"ENSG00000104899"	"ENSG00000104899.8"	"ENST00000221496"	"ENST00000221496.5"	"NM_000479.5"
"ENSG00000223547"	"ENSG00000223547.10"	"ENST00000439326"	"ENST00000439326.8"	"NM_001136501.3"
"ENSG00000088356"	"ENSG00000088356.7"	"ENST00000202017"	"ENST00000202017.6"	"NM_030815.3"
"ENSG00000163519"	"ENSG00000163519.14"	"ENST00000295756"	"ENST00000295756.11"	"NM_016388.4"
"ENSG00000237247"	"ENSG00000237247.6"	"ENST00000329753"	"ENST00000329753.5"	"NM_001136507.2"
"ENSG00000179817"	"ENSG00000179817.5"	"ENST00000314254"	"ENST00000314254.3"	"NM_054032.3"
"ENSG00000205718"	"ENSG00000205718.10"	"ENST00000381394"	"ENST00000381394.9"	"NM_001164419.3"
"ENSG00000205693"	"ENSG00000205693.4"	"ENST00000381273"	"ENST00000381273.4"	"NM_001146221.5"
"ENSG00000135226"	"ENSG00000135226.18"	"ENST00000335568"	"ENST00000335568.10"	"NM_053039.2"
"ENSG00000230522"	"ENSG00000230522.5"	"ENST00000381393"	"ENST00000381393.3"	"NM_144614.4"
"ENSG00000160321"	"ENSG00000160321.16"	"ENST00000397126"	"ENST00000397126.9"	"NM_007153.3"
"ENSG00000149133"	"ENSG00000149133.1"	"ENST00000278409"	"ENST00000278409.1"	"NM_003697.1"
"ENSG00000139445"	"ENSG00000139445.18"	"ENST00000299162"	"ENST00000299162.10"	"NM_213596.3"
"ENSG00000180739"	"ENSG00000180739.15"	"ENST00000333430"	"ENST00000333430.6"	"NM_030760.5"
"ENSG00000170819"	"ENSG00000170819.5"	"ENST00000302334"	"ENST00000302334.3"	"NM_003571.4"
"ENSG00000181761"	"ENSG00000181761.5"	"ENST00000313472"	"ENST00000313472.3"	"NM_001005201.1"
"ENSG00000181752"	"ENSG00000181752.3"	"ENST00000313447"	"ENST00000313447.1"	"NM_001004058.2"
"ENSG00000205838"	"ENSG00000205838.15"	"ENST00000505624"	"ENST00000505624.6"	"NM_144725.4"
"ENSG00000174957"	"ENSG00000174957.1"	"ENST00000312298"	"ENST00000312298.1"	"NM_001005492.1"
"ENSG00000099889"	"ENSG00000099889.15"	"ENST00000263207"	"ENST00000263207.8"	"NM_001670.3"
"ENSG00000114125"	"ENSG00000114125.14"	"ENST00000273480"	"ENST00000273480.4"	"NM_014245.5"
"ENSG00000204531"	"ENSG00000204531.21"	"ENST00000259915"	"ENST00000259915.13"	"NM_002701.6"
"ENSG00000180475"	"ENSG00000180475.4"	"ENST00000316770"	"ENST00000316770.2"	"NM_001004471.2"
"ENSG00000152229"	"ENSG00000152229.19"	"ENST00000409746"	"ENST00000409746.5"	"NM_024430.4"
"ENSG00000248483"	"ENSG00000248483.7"	"ENST00000606183"	"ENST00000606183.4"	"NM_153216.2"
"ENSG00000173610"	"ENSG00000173610.13"	"ENST00000286604"	"ENST00000286604.9"	"NM_001252275.3"
"ENSG00000102271"	"ENSG00000102271.15"	"ENST00000373119"	"ENST00000373119.9"	"NM_019117.5"
"ENSG00000175745"	"ENSG00000175745.15"	"ENST00000327111"	"ENST00000327111.8"	"NM_005654.6"
"ENSG00000176200"	"ENSG00000176200.1"	"ENST00000313253"	"ENST00000313253.1"	"NM_001004706.1"
"ENSG00000163421"	"ENSG00000163421.9"	"ENST00000295619"	"ENST00000295619.4"	"NM_001126128.2"
"ENSG00000172199"	"ENSG00000172199.1"	"ENST00000302270"	"ENST00000302270.1"	"NM_001005204.1"
"ENSG00000168875"	"ENSG00000168875.3"	"ENST00000306087"	"ENST00000306087.3"	"NM_004189.4"
"ENSG00000197826"	"ENSG00000197826.13"	"ENST00000358105"	"ENST00000358105.8"	"NM_152770.3"
"ENSG00000279961"	"ENSG00000279961.2"	"ENST00000623286"	"ENST00000623286.1"	"NM_001004744.1"
"ENSG00000102452"	"ENSG00000102452.19"	"ENST00000251127"	"ENST00000251127.11"	"NM_052867.4"
"ENSG00000150269"	"ENSG00000150269.1"	"ENST00000279791"	"ENST00000279791.1"	"NM_001004743.1"
"ENSG00000178338"	"ENSG00000178338.11"	"ENST00000322434"	"ENST00000322434.8"	"NM_058230.3"
"ENSG00000165169"	"ENSG00000165169.12"	"ENST00000378578"	"ENST00000378578.9"	"NM_006520.3"
"ENSG00000152977"	"ENSG00000152977.10"	"ENST00000282928"	"ENST00000282928.5"	"NM_003412.4"
"ENSG00000142515"	"ENSG00000142515.16"	"ENST00000326003"	"ENST00000326003.7"	"NM_001648.2"
"ENSG00000128309"	"ENSG00000128309.19"	"ENST00000429360"	"ENST00000429360.6"	"NM_021126.8"
"ENSG00000070031"	"ENSG00000070031.4"	"ENST00000176195"	"ENST00000176195.4"	"NM_021920.4"
"ENSG00000187823"	"ENSG00000187823.5"	"ENST00000695839"	"ENST00000695839.1"	"NM_001395362.2"
"ENSG00000069696"	"ENSG00000069696.7"	"ENST00000176183"	"ENST00000176183.6"	"NM_000797.4"
"ENSG00000160183"	"ENSG00000160183.18"	"ENST00000644384"	"ENST00000644384.2"	"NM_001256317.3"
"ENSG00000163590"	"ENSG00000163590.14"	"ENST00000498165"	"ENST00000498165.6"	"NM_139245.4"
"ENSG00000198674"	"ENSG00000198674.3"	"ENST00000307002"	"ENST00000307002.3"	"NM_001355219.1"
"ENSG00000236981"	"ENSG00000236981.1"	"ENST00000375024"	"ENST00000375024.1"	"NM_001001953.1"
"ENSG00000123728"	"ENSG00000123728.11"	"ENST00000370874"	"ENST00000370874.2"	"NM_001271186.2"
"ENSG00000141449"	"ENSG00000141449.17"	"ENST00000424526"	"ENST00000424526.7"	"NM_001142966.3"
"ENSG00000169393"	"ENSG00000169393.10"	"ENST00000339841"	"ENST00000339841.7"	"NM_022142.5"
"ENSG00000182168"	"ENSG00000182168.16"	"ENST00000453304"	"ENST00000453304.6"	"NM_003728.4"
"ENSG00000232593"	"ENSG00000232593.9"	"ENST00000604062"	"ENST00000604062.7"	"NM_001397448.1"
"ENSG00000163630"	"ENSG00000163630.11"	"ENST00000478300"	"ENST00000478300.6"	"NM_001130003.2"
"ENSG00000174358"	"ENSG00000174358.16"	"ENST00000304460"	"ENST00000304460.11"	"NM_001003841.3"
"ENSG00000126464"	"ENSG00000126464.15"	"ENST00000418929"	"ENST00000418929.7"	"NM_020719.3"
"ENSG00000166793"	"ENSG00000166793.13"	"ENST00000300022"	"ENST00000300022.8"	"NM_145008.3"
"ENSG00000186462"	"ENSG00000186462.10"	"ENST00000373517"	"ENST00000373517.4"	"NM_021963.4"
"ENSG00000164363"	"ENSG00000164363.10"	"ENST00000324642"	"ENST00000324642.4"	"NM_182632.3"
"ENSG00000184445"	"ENSG00000184445.12"	"ENST00000333479"	"ENST00000333479.12"	"NM_014708.6"
"ENSG00000197128"	"ENSG00000197128.13"	"ENST00000356584"	"ENST00000356584.8"	"NM_001144068.2"
"ENSG00000132205"	"ENSG00000132205.12"	"ENST00000254528"	"ENST00000254528.4"	"NM_032048.3"
"ENSG00000198088"	"ENSG00000198088.11"	"ENST00000372466"	"ENST00000372466.8"	"NM_017681.3"
"ENSG00000198099"	"ENSG00000198099.10"	"ENST00000265512"	"ENST00000265512.12"	"NM_000670.5"
"ENSG00000175505"	"ENSG00000175505.11"	"ENST00000312438"	"ENST00000312438.8"	"NM_013246.3"
"ENSG00000177045"	"ENSG00000177045.11"	"ENST00000317578"	"ENST00000317578.7"	"NM_175875.5"
"ENSG00000213402"	"ENSG00000213402.3"	"ENST00000326294"	"ENST00000326294.4"	"NM_005608.3"
"ENSG00000175514"	"ENSG00000175514.2"	"ENST00000312457"	"ENST00000312457.2"	"NM_206997.1"
"ENSG00000182782"	"ENSG00000182782.8"	"ENST00000328880"	"ENST00000328880.6"	"NM_177551.4"
"ENSG00000133135"	"ENSG00000133135.15"	"ENST00000255499"	"ENST00000255499.3"	"NM_194463.2"
"ENSG00000204514"	"ENSG00000204514.11"	"ENST00000435989"	"ENST00000435989.7"	"NM_001144989.2"
"ENSG00000255398"	"ENSG00000255398.3"	"ENST00000528880"	"ENST00000528880.3"	"NM_006018.3"
"ENSG00000196917"	"ENSG00000196917.6"	"ENST00000432564"	"ENST00000432564.3"	"NM_032554.4"
"ENSG00000171388"	"ENSG00000171388.13"	"ENST00000429967"	"ENST00000429967.3"	"NM_017413.5"
"ENSG00000136144"	"ENSG00000136144.13"	"ENST00000378302"	"ENST00000378302.7"	"NM_018191.4"
"ENSG00000243279"	"ENSG00000243279.5"	"ENST00000553851"	"ENST00000553851.3"	"NM_007213.3"
"ENSG00000141639"	"ENSG00000141639.13"	"ENST00000400384"	"ENST00000400384.7"	"NM_002747.4"
"ENSG00000131808"	"ENSG00000131808.11"	"ENST00000533718"	"ENST00000533718.2"	"NM_001382289.1"
"ENSG00000185261"	"ENSG00000185261.16"	"ENST00000682413"	"ENST00000682413.1"	"NM_001145678.3"
"ENSG00000205869"	"ENSG00000205869.2"	"ENST00000382171"	"ENST00000382171.2"	"NM_001005922.1"
"ENSG00000205867"	"ENSG00000205867.3"	"ENST00000412090"	"ENST00000412090.2"	"NM_001004325.2"
"ENSG00000196224"	"ENSG00000196224.7"	"ENST00000399685"	"ENST00000399685.1"	"NM_001012708.2"
"ENSG00000205864"	"ENSG00000205864.1"	"ENST00000382160"	"ENST00000382160.1"	"NM_001012416.1"
"ENSG00000167612"	"ENSG00000167612.13"	"ENST00000301190"	"ENST00000301190.11"	"NM_182608.4"
"ENSG00000088305"	"ENSG00000088305.20"	"ENST00000328111"	"ENST00000328111.6"	"NM_006892.4"
"ENSG00000240654"	"ENSG00000240654.7"	"ENST00000332018"	"ENST00000332018.5"	"NM_178540.5"
"ENSG00000157625"	"ENSG00000157625.17"	"ENST00000288422"	"ENST00000288422.4"	"NM_152787.5"
"ENSG00000150275"	"ENSG00000150275.20"	"ENST00000644397"	"ENST00000644397.2"	"NM_001384140.1"
"ENSG00000139826"	"ENSG00000139826.7"	"ENST00000375898"	"ENST00000375898.4"	"NM_032859.3"
"ENSG00000154640"	"ENSG00000154640.16"	"ENST00000348354"	"ENST00000348354.7"	"NM_006806.5"
"ENSG00000185774"	"ENSG00000185774.17"	"ENST00000382152"	"ENST00000382152.7"	"NM_025221.6"
"ENSG00000092529"	"ENSG00000092529.26"	"ENST00000397163"	"ENST00000397163.8"	"NM_000070.3"
"ENSG00000161835"	"ENSG00000161835.11"	"ENST00000293662"	"ENST00000293662.9"	"NM_181711.4"
"ENSG00000124479"	"ENSG00000124479.12"	"ENST00000642620"	"ENST00000642620.1"	"NM_000266.4"
"ENSG00000112077"	"ENSG00000112077.18"	"ENST00000371175"	"ENST00000371175.10"	"NM_000324.3"
"ENSG00000175536"	"ENSG00000175536.7"	"ENST00000310109"	"ENST00000310109.5"	"NM_001144869.3"
"ENSG00000214827"	"ENSG00000214827.12"	"ENST00000369476"	"ENST00000369476.8"	"NM_001018025.4"
"ENSG00000197261"	"ENSG00000197261.12"	"ENST00000529246"	"ENST00000529246.4"	"NM_001145652.2"
"ENSG00000186907"	"ENSG00000186907.8"	"ENST00000335099"	"ENST00000335099.8"	"NM_178570.3"
"ENSG00000197632"	"ENSG00000197632.10"	"ENST00000299502"	"ENST00000299502.9"	"NM_002575.3"
"ENSG00000174343"	"ENSG00000174343.6"	"ENST00000310169"	"ENST00000310169.3"	"NM_017581.4"
"ENSG00000196747"	"ENSG00000196747.5"	"ENST00000358739"	"ENST00000358739.5"	"NM_003509.3"
"ENSG00000273802"	"ENSG00000273802.3"	"ENST00000541790"	"ENST00000541790.4"	"NM_003518.4"
"ENSG00000185130"	"ENSG00000185130.6"	"ENST00000377401"	"ENST00000377401.4"	"NM_003519.4"
"ENSG00000277224"	"ENSG00000277224.3"	"ENST00000356530"	"ENST00000356530.6"	"NM_003522.4"
"ENSG00000275713"	"ENSG00000275713.3"	"ENST00000619466"	"ENST00000619466.3"	"NM_003524.3"
"ENSG00000273983"	"ENSG00000273983.2"	"ENST00000614378"	"ENST00000614378.2"	"NM_003534.3"
"ENSG00000276966"	"ENSG00000276966.3"	"ENST00000615164"	"ENST00000615164.3"	"NM_003545.4"
"ENSG00000135569"	"ENSG00000135569.5"	"ENST00000258034"	"ENST00000258034.4"	"NM_003967.3"
"ENSG00000120279"	"ENSG00000120279.7"	"ENST00000367245"	"ENST00000367245.6"	"NM_025107.3"
"ENSG00000244355"	"ENSG00000244355.8"	"ENST00000375825"	"ENST00000375825.8"	"NM_021246.4"
"ENSG00000018610"	"ENSG00000018610.16"	"ENST00000644802"	"ENST00000644802.2"	"NM_022101.4"
"ENSG00000156587"	"ENSG00000156587.16"	"ENST00000287156"	"ENST00000287156.9"	"NM_004223.5"
"ENSG00000038382"	"ENSG00000038382.23"	"ENST00000344204"	"ENST00000344204.9"	"NM_007118.4"
"ENSG00000136011"	"ENSG00000136011.15"	"ENST00000388887"	"ENST00000388887.7"	"NM_017564.10"
"ENSG00000189134"	"ENSG00000189134.4"	"ENST00000343684"	"ENST00000343684.4"	"NM_001007531.3"
"ENSG00000274997"	"ENSG00000274997.2"	"ENST00000377459"	"ENST00000377459.3"	"NM_080596.3"
"ENSG00000160460"	"ENSG00000160460.17"	"ENST00000598249"	"ENST00000598249.6"	"NM_020971.3"
"ENSG00000158553"	"ENSG00000158553.5"	"ENST00000444565"	"ENST00000444565.2"	"NM_033482.4"
"ENSG00000149575"	"ENSG00000149575.9"	"ENST00000278947"	"ENST00000278947.6"	"NM_004588.5"
"ENSG00000156140"	"ENSG00000156140.11"	"ENST00000286657"	"ENST00000286657.10"	"NM_014243.3"
"ENSG00000090402"	"ENSG00000090402.8"	"ENST00000264382"	"ENST00000264382.8"	"NM_001041.4"
"ENSG00000180425"	"ENSG00000180425.11"	"ENST00000623205"	"ENST00000623205.2"	"NM_001271562.2"
"ENSG00000111412"	"ENSG00000111412.6"	"ENST00000261318"	"ENST00000261318.5"	"NM_024738.4"
"ENSG00000102385"	"ENSG00000102385.14"	"ENST00000395209"	"ENST00000395209.8"	"NM_001939.3"
"ENSG00000142188"	"ENSG00000142188.18"	"ENST00000542230"	"ENST00000542230.7"	"NM_006134.7"
"ENSG00000135116"	"ENSG00000135116.9"	"ENST00000257572"	"ENST00000257572.5"	"NM_003806.4"
"ENSG00000184954"	"ENSG00000184954.4"	"ENST00000327335"	"ENST00000327335.4"	"NM_001005499.1"
"ENSG00000205327"	"ENSG00000205327.3"	"ENST00000548615"	"ENST00000548615.1"	"NM_001005519.2"
"ENSG00000213967"	"ENSG00000213967.12"	"ENST00000594466"	"ENST00000594466.6"	"NM_001244038.2"
"ENSG00000144962"	"ENSG00000144962.7"	"ENST00000351008"	"ENST00000351008.4"	"NM_031955.6"
"ENSG00000109927"	"ENSG00000109927.11"	"ENST00000392793"	"ENST00000392793.6"	"NM_005422.4"
"ENSG00000188171"	"ENSG00000188171.17"	"ENST00000601440"	"ENST00000601440.6"	"NM_001076675.3"
"ENSG00000081051"	"ENSG00000081051.8"	"ENST00000395792"	"ENST00000395792.7"	"NM_001134.3"
"ENSG00000213973"	"ENSG00000213973.10"	"ENST00000596209"	"ENST00000596209.4"	"NM_001080409.3"
"ENSG00000170374"	"ENSG00000170374.6"	"ENST00000536324"	"ENST00000536324.4"	"NM_001173467.3"
"ENSG00000204869"	"ENSG00000204869.9"	"ENST00000377697"	"ENST00000377697.2"	"NM_001002923.3"
"ENSG00000101138"	"ENSG00000101138.13"	"ENST00000217109"	"ENST00000217109.9"	"NM_001324.3"
"ENSG00000166974"	"ENSG00000166974.14"	"ENST00000300249"	"ENST00000300249.10"	"NM_014268.4"
"ENSG00000182315"	"ENSG00000182315.10"	"ENST00000333843"	"ENST00000333843.9"	"NM_001164425.4"
"ENSG00000181733"	"ENSG00000181733.4"	"ENST00000641125"	"ENST00000641125.1"	"NM_001004699.3"
"ENSG00000170923"	"ENSG00000170923.4"	"ENST00000641081"	"ENST00000641081.1"	"NM_001005193.2"
"ENSG00000176695"	"ENSG00000176695.8"	"ENST00000585993"	"ENST00000585993.3"	"NM_001005240.3"
"ENSG00000155307"	"ENSG00000155307.20"	"ENST00000400566"	"ENST00000400566.6"	"NM_022136.5"
"ENSG00000137413"	"ENSG00000137413.17"	"ENST00000372977"	"ENST00000372977.8"	"NM_138572.3"
"ENSG00000156194"	"ENSG00000156194.19"	"ENST00000286719"	"ENST00000286719.12"	"NM_006239.3"
"ENSG00000177694"	"ENSG00000177694.16"	"ENST00000454872"	"ENST00000454872.6"	"NM_207015.3"
"ENSG00000133138"	"ENSG00000133138.21"	"ENST00000357242"	"ENST00000357242.10"	"NM_017752.3"
"ENSG00000120451"	"ENSG00000120451.11"	"ENST00000265909"	"ENST00000265909.9"	"NM_014758.3"
"ENSG00000204866"	"ENSG00000204866.9"	"ENST00000377693"	"ENST00000377693.5"	"NM_001135113.2"
"ENSG00000101132"	"ENSG00000101132.12"	"ENST00000371419"	"ENST00000371419.7"	"NM_002623.4"
"ENSG00000269526"	"ENSG00000269526.2"	"ENST00000602168"	"ENST00000602168.2"	"NM_152473.3"
"ENSG00000203872"	"ENSG00000203872.7"	"ENST00000388923"	"ENST00000388923.5"	"NM_001010868.3"
"ENSG00000111725"	"ENSG00000111725.11"	"ENST00000229328"	"ENST00000229328.10"	"NM_006253.5"
"ENSG00000179300"	"ENSG00000179300.5"	"ENST00000321110"	"ENST00000321110.2"	"NM_152694.3"
"ENSG00000182566"	"ENSG00000182566.15"	"ENST00000328853"	"ENST00000328853.11"	"NM_198492.4"
"ENSG00000187556"	"ENSG00000187556.8"	"ENST00000339133"	"ENST00000339133.6"	"NM_001098622.3"
"ENSG00000163995"	"ENSG00000163995.22"	"ENST00000447017"	"ENST00000447017.7"	"NM_001130083.2"
"ENSG00000255150"	"ENSG00000255150.2"	"ENST00000527879"	"ENST00000527879.2"	"NM_001008394.3"
"ENSG00000164520"	"ENSG00000164520.12"	"ENST00000357183"	"ENST00000357183.9"	"NM_001394057.1"
"ENSG00000169562"	"ENSG00000169562.14"	"ENST00000361726"	"ENST00000361726.7"	"NM_000166.6"
"ENSG00000175544"	"ENSG00000175544.14"	"ENST00000325656"	"ENST00000325656.7"	"NM_145200.5"
"ENSG00000204149"	"ENSG00000204149.16"	"ENST00000412531"	"ENST00000412531.7"	"NM_001077665.3"
"ENSG00000212122"	"ENSG00000212122.4"	"ENST00000390666"	"ENST00000390666.4"	"NM_032028.4"
"ENSG00000135119"	"ENSG00000135119.15"	"ENST00000257575"	"ENST00000257575.9"	"NM_001382266.1"
"ENSG00000100084"	"ENSG00000100084.15"	"ENST00000263208"	"ENST00000263208.5"	"NM_003325.4"
"ENSG00000156261"	"ENSG00000156261.14"	"ENST00000286788"	"ENST00000286788.9"	"NM_006585.4"
"ENSG00000112137"	"ENSG00000112137.19"	"ENST00000332995"	"ENST00000332995.12"	"NM_030948.6"
"ENSG00000204979"	"ENSG00000204979.8"	"ENST00000378186"	"ENST00000378186.7"	"NM_001012417.3"
"ENSG00000057149"	"ENSG00000057149.17"	"ENST00000283752"	"ENST00000283752.10"	"NM_006919.3"
"ENSG00000130270"	"ENSG00000130270.16"	"ENST00000310127"	"ENST00000310127.10"	"NM_138813.4"
"ENSG00000166670"	"ENSG00000166670.10"	"ENST00000279441"	"ENST00000279441.9"	"NM_002425.3"
"ENSG00000171444"	"ENSG00000171444.19"	"ENST00000408903"	"ENST00000408903.7"	"NM_001085377.2"
"ENSG00000103994"	"ENSG00000103994.18"	"ENST00000564754"	"ENST00000564754.7"	"NM_001366845.3"
"ENSG00000139190"	"ENSG00000139190.17"	"ENST00000396308"	"ENST00000396308.4"	"NM_014231.5"
"ENSG00000204290"	"ENSG00000204290.11"	"ENST00000454136"	"ENST00000454136.8"	"NM_001304561.2"
"ENSG00000124429"	"ENSG00000124429.19"	"ENST00000262753"	"ENST00000262753.9"	"NM_024921.4"
"ENSG00000178026"	"ENSG00000178026.14"	"ENST00000318753"	"ENST00000318753.13"	"NM_207644.3"
"ENSG00000032742"	"ENSG00000032742.19"	"ENST00000351808"	"ENST00000351808.10"	"NM_006531.5"
"ENSG00000203877"	"ENSG00000203877.9"	"ENST00000369689"	"ENST00000369689.6"	"NM_001009994.3"
"ENSG00000205927"	"ENSG00000205927.6"	"ENST00000382357"	"ENST00000382357.4"	"NM_005806.4"
"ENSG00000197110"	"ENSG00000197110.10"	"ENST00000413851"	"ENST00000413851.3"	"NM_172139.4"
"ENSG00000172757"	"ENSG00000172757.13"	"ENST00000308162"	"ENST00000308162.10"	"NM_005507.3"
"ENSG00000147138"	"ENSG00000147138.4"	"ENST00000645147"	"ENST00000645147.2"	"NM_032553.3"
"ENSG00000178222"	"ENSG00000178222.14"	"ENST00000433731"	"ENST00000433731.7"	"NM_001131034.4"
"ENSG00000111404"	"ENSG00000111404.7"	"ENST00000538724"	"ENST00000538724.6"	"NM_001286201.2"
"ENSG00000168675"	"ENSG00000168675.20"	"ENST00000359446"	"ENST00000359446.11"	"NM_001378100.1"
"ENSG00000099822"	"ENSG00000099822.3"	"ENST00000251287"	"ENST00000251287.3"	"NM_001194.4"
"ENSG00000070388"	"ENSG00000070388.12"	"ENST00000215530"	"ENST00000215530.7"	"NM_020637.2"
"ENSG00000102243"	"ENSG00000102243.14"	"ENST00000370634"	"ENST00000370634.8"	"NM_016267.4"
"ENSG00000181215"	"ENSG00000181215.17"	"ENST00000711657"	"ENST00000711657.1"	"NM_001364689.3"
"ENSG00000248771"	"ENSG00000248771.5"	"ENST00000507311"	"ENST00000507311.1"	"NM_001352885.1"
"ENSG00000215193"	"ENSG00000215193.15"	"ENST00000399744"	"ENST00000399744.8"	"NM_001127649.3"
"ENSG00000182518"	"ENSG00000182518.15"	"ENST00000685693"	"ENST00000685693.1"	"NM_001166701.4"
"ENSG00000134640"	"ENSG00000134640.3"	"ENST00000257068"	"ENST00000257068.3"	"NM_005959.5"
"ENSG00000130167"	"ENSG00000130167.14"	"ENST00000590327"	"ENST00000590327.6"	"NM_001282509.2"
"ENSG00000125650"	"ENSG00000125650.5"	"ENST00000245810"	"ENST00000245810.2"	"NM_004158.5"
"ENSG00000088247"	"ENSG00000088247.19"	"ENST00000600480"	"ENST00000600480.2"	"NM_001366299.1"
"ENSG00000196611"	"ENSG00000196611.6"	"ENST00000315274"	"ENST00000315274.7"	"NM_002421.4"
"ENSG00000159873"	"ENSG00000159873.11"	"ENST00000249064"	"ENST00000249064.9"	"NM_173510.4"
"ENSG00000104177"	"ENSG00000104177.20"	"ENST00000324324"	"ENST00000324324.12"	"NM_016132.5"
"ENSG00000113712"	"ENSG00000113712.19"	"ENST00000377843"	"ENST00000377843.8"	"NM_001892.6"
"ENSG00000102032"	"ENSG00000102032.14"	"ENST00000393700"	"ENST00000393700.8"	"NM_002910.6"
"ENSG00000171053"	"ENSG00000171053.10"	"ENST00000305738"	"ENST00000305738.10"	"NM_138294.3"
"ENSG00000196844"	"ENSG00000196844.9"	"ENST00000358524"	"ENST00000358524.8"	"NM_212555.3"
"ENSG00000183864"	"ENSG00000183864.7"	"ENST00000327492"	"ENST00000327492.4"	"NM_016272.4"
"ENSG00000184985"	"ENSG00000184985.17"	"ENST00000507866"	"ENST00000507866.6"	"NM_020777.3"
"ENSG00000236027"	"ENSG00000236027.3"	"ENST00000445202"	"ENST00000445202.2"	"NM_001129883.4"
"ENSG00000126243"	"ENSG00000126243.9"	"ENST00000246529"	"ENST00000246529.4"	"NM_024509.2"
"ENSG00000205138"	"ENSG00000205138.4"	"ENST00000378887"	"ENST00000378887.4"	"NM_001042631.3"
"ENSG00000284684"	"ENSG00000284684.1"	"ENST00000636216"	"ENST00000636216.1"	"NM_001415001.1"
"ENSG00000237353"	"ENSG00000237353.7"	"ENST00000457514"	"ENST00000457514.3"	"NM_001144874.1"
"ENSG00000101856"	"ENSG00000101856.11"	"ENST00000217971"	"ENST00000217971.8"	"NM_006667.5"
"ENSG00000006118"	"ENSG00000006118.15"	"ENST00000453848"	"ENST00000453848.7"	"NM_178031.3"
"ENSG00000085276"	"ENSG00000085276.19"	"ENST00000651503"	"ENST00000651503.2"	"NM_004991.4"
"ENSG00000184507"	"ENSG00000184507.17"	"ENST00000537011"	"ENST00000537011.6"	"NM_001284292.2"
"ENSG00000204536"	"ENSG00000204536.15"	"ENST00000396268"	"ENST00000396268.8"	"NM_001105564.2"
"ENSG00000184117"	"ENSG00000184117.13"	"ENST00000216121"	"ENST00000216121.12"	"NM_003634.4"
"ENSG00000129682"	"ENSG00000129682.17"	"ENST00000315930"	"ENST00000315930.11"	"NM_004114.5"
"ENSG00000189099"	"ENSG00000189099.12"	"ENST00000455694"	"ENST00000455694.7"	"NM_183375.5"
"ENSG00000129749"	"ENSG00000129749.3"	"ENST00000250699"	"ENST00000250699.2"	"NM_020402.4"
"ENSG00000130477"	"ENSG00000130477.16"	"ENST00000519716"	"ENST00000519716.7"	"NM_001080421.3"
"ENSG00000175040"	"ENSG00000175040.6"	"ENST00000309575"	"ENST00000309575.5"	"NM_004267.5"
"ENSG00000150630"	"ENSG00000150630.4"	"ENST00000618562"	"ENST00000618562.2"	"NM_005429.5"
"ENSG00000175077"	"ENSG00000175077.6"	"ENST00000312295"	"ENST00000312295.5"	"NM_153708.3"
"ENSG00000272856"	"ENSG00000272856.2"	"ENST00000715253"	"ENST00000715253.1"	"NM_001405228.1"
"ENSG00000248099"	"ENSG00000248099.4"	"ENST00000317306"	"ENST00000317306.8"	"NM_005543.4"
"ENSG00000160190"	"ENSG00000160190.15"	"ENST00000352133"	"ENST00000352133.3"	"NM_001320537.2"
"ENSG00000121853"	"ENSG00000121853.4"	"ENST00000241256"	"ENST00000241256.3"	"NM_198407.2"
"ENSG00000163736"	"ENSG00000163736.5"	"ENST00000296028"	"ENST00000296028.4"	"NM_002704.3"
"ENSG00000130513"	"ENSG00000130513.7"	"ENST00000252809"	"ENST00000252809.3"	"NM_004864.4"
"ENSG00000187079"	"ENSG00000187079.20"	"ENST00000527636"	"ENST00000527636.7"	"NM_021961.6"
"ENSG00000174948"	"ENSG00000174948.6"	"ENST00000389740"	"ENST00000389740.3"	"NM_001038705.3"
"ENSG00000017797"	"ENSG00000017797.14"	"ENST00000383432"	"ENST00000383432.8"	"NM_006788.4"
"ENSG00000124466"	"ENSG00000124466.9"	"ENST00000244333"	"ENST00000244333.4"	"NM_014400.3"
"ENSG00000109220"	"ENSG00000109220.12"	"ENST00000263921"	"ENST00000263921.8"	"NM_012110.4"
"ENSG00000182103"	"ENSG00000182103.5"	"ENST00000329203"	"ENST00000329203.5"	"NM_175885.4"
